Car_ID,Brand,Model,Segment,Year,Price_INR_Lakhs,Engine_CC,Fuel_Type,Transmission,Power_BHP,Torque_Nm,Mileage_kmpl,Top_Speed_kmph,No_of_Airbags,ABS,EBD,ESP,Hill_Assist,ISOFIX,Rear_Parking_Sensors,Front_Parking_Sensors,Reverse_Camera,Blind_Spot_Monitor,Lane_Departure_Warning,Adaptive_Cruise_Control,Auto_Emergency_Braking,NCAP_Rating,No_of_Seats,Sunroof_Moonroof,Leather_Seats,Ventilated_Seats,Heated_Seats,Climate_Zones,Ambient_Lighting,Wireless_Charging,Infotainment_Screen_inch,Apple_CarPlay,Android_Auto,Connected_Car_Tech,Digital_Instrument_Cluster,Head_Up_Display,Premium_Sound_System,Cruise_Control,Keyless_Entry,Push_Button_Start,Electric_Parking_Brake,Auto_Dimming_IRVM,Tyre_Size,Ground_Clearance_mm,Boot_Space_L,Fuel_Tank_L,Wheelbase_mm,Length_mm,Width_mm,Height_mm,Kerb_Weight_kg,Drive_Type
1,Maruti Suzuki,Swift,Hatchback,2024,6.99,1197,Petrol,Manual,89,113,22.56,170,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,No,7,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R15,163,268,37,2450,3845,1735,1530,902,FWD
2,Maruti Suzuki,Baleno,Hatchback,2024,6.61,1197,Petrol,Manual,89,113,22.35,170,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,185/65 R15,170,318,37,2520,3990,1745,1500,935,FWD
3,Hyundai,i20,Hatchback,2024,7.04,1197,Petrol,Manual,83,114,20.35,165,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,Yes,No,No,No,1,Yes,Yes,10.25,Yes,Yes,Yes,Yes,No,Bose,Yes,Yes,Yes,No,Yes,195/55 R16,172,311,40,2580,4040,1775,1505,971,FWD
4,Tata,Tiago,Hatchback,2024,5.6,1199,Petrol,Manual,85,113,19.01,155,2,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,0,5,No,No,No,No,1,No,No,7,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R14,168,242,35,2400,3765,1677,1535,1000,FWD
5,Honda,Jazz,Hatchback,2023,8.5,1199,Petrol,Manual,90,110,17.1,175,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,8,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,185/55 R16,130,354,40,2530,3995,1694,1544,1034,FWD
6,Volkswagen,Polo,Hatchback,2022,9.99,999,Petrol,Manual,109,175,18.54,187,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,No,8,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,185/60 R15,165,280,40,2470,3972,1682,1467,1084,FWD
7,Toyota,Glanza,Hatchback,2024,6.73,1197,Petrol,Manual,89,113,22.35,170,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,185/65 R15,170,318,37,2520,3990,1745,1500,920,FWD
8,Tata,Altroz,Hatchback,2024,6.6,1199,Petrol,Manual,86,113,19.05,160,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,5,5,No,No,No,No,1,Yes,No,7,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,195/55 R16,165,345,37,2501,3990,1755,1523,1080,FWD
9,Renault,Kwid,Hatchback,2024,4.7,999,Petrol,Manual,54,72,22.3,140,2,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,0,5,No,No,No,No,1,No,No,8,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,155/80 R13,180,279,28,2422,3731,1579,1474,672,FWD
10,Citroen,C3,Hatchback,2024,6.16,1199,Petrol,Manual,82,115,19.8,160,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,No,10.2,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,195/65 R15,170,316,40,2540,3981,1733,1571,1052,FWD
11,Honda,City,Sedan,2024,11.77,1498,Petrol,Manual,121,145,17.8,195,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,0,5,No,No,No,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,185/60 R16,135,506,40,2600,4553,1748,1489,1119,FWD
12,Maruti Suzuki,Ciaz,Sedan,2023,9.4,1462,Petrol,Manual,104,138,20.65,185,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,7,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,195/55 R16,145,510,43,2650,4490,1730,1485,1045,FWD
13,Hyundai,Verna,Sedan,2024,10.9,1497,Petrol,Manual,113,143,17.7,190,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5,5,Yes,Yes,Yes,No,2,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Bose,Yes,Yes,Yes,Yes,Yes,205/55 R16,130,528,45,2670,4535,1765,1475,1200,FWD
14,Volkswagen,Vento,Sedan,2022,12.49,999,Petrol,Automatic,109,175,16.38,190,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,No,8,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,205/55 R16,127,454,55,2551,4388,1699,1469,1202,FWD
15,Skoda,Slavia,Sedan,2024,11.49,999,Petrol,Manual,114,178,18.73,195,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,0,5,No,No,No,No,1,Yes,Yes,8,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,205/55 R16,121,521,50,2651,4541,1752,1487,1245,FWD
16,Toyota,Yaris,Sedan,2021,9.15,1496,Petrol,Manual,107,140,17.8,180,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,7,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,185/60 R15,130,476,42,2550,4425,1730,1475,1115,FWD
17,Tata,Tigor,Sedan,2024,6.3,1199,Petrol,Manual,85,113,19.25,160,2,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,No,7,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,175/65 R14,170,419,35,2450,3993,1677,1532,1115,FWD
18,Hyundai,Aura,Sedan,2024,6.49,1197,Petrol,Manual,83,114,20.5,165,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,0,5,No,No,No,No,1,No,Yes,8,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,175/65 R15,165,402,37,2450,3995,1680,1520,1010,FWD
19,Mahindra,Thar,SUV,2024,13.59,2184,Diesel,Manual,130,300,15.2,155,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,5,4,No,No,No,No,1,Yes,Yes,9,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,255/65 R18,230,0,57,2450,3985,1820,1844,1800,4WD
20,Tata,Nexon,SUV,2024,8.1,1199,Petrol,Manual,118,170,17.01,180,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,5,5,Yes,No,No,No,1,Yes,Yes,10.25,Yes,Yes,Yes,Yes,No,JBL,Yes,Yes,Yes,Yes,Yes,215/60 R16,209,350,44,2498,3994,1811,1606,1320,FWD
21,Hyundai,Creta,SUV,2024,11,1497,Petrol,Manual,113,143,17,185,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,No,2,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Bose,Yes,Yes,Yes,Yes,Yes,215/60 R16,190,433,50,2610,4300,1790,1635,1385,FWD
22,Kia,Seltos,SUV,2024,10.9,1497,Petrol,Manual,113,143,16.5,185,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,Yes,Yes,Yes,No,2,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Bose,Yes,Yes,Yes,Yes,Yes,215/60 R16,190,433,50,2610,4365,1800,1645,1380,FWD
23,Maruti Suzuki,Brezza,SUV,2024,8.34,1462,Petrol,Manual,103,137,17.38,175,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,Yes,No,No,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,215/60 R16,198,328,48,2500,3995,1790,1660,1165,FWD
24,Mahindra,XUV300,SUV,2024,7.99,1197,Petrol,Manual,109,200,18,175,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,5,5,Yes,No,No,No,1,Yes,Yes,7,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,215/55 R17,180,257,41,2600,3995,1821,1627,1255,FWD
25,Toyota,Urban Cruiser Hyryder,SUV,2024,10.73,1490,Petrol Hybrid,Automatic,115,141,27.97,170,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,5,Yes,No,No,No,1,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,215/60 R17,200,374,48,2600,4365,1795,1635,1395,FWD
